"","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","NC","NE","NH","NJ","NV","NY","OH","OK","OR","PA","RI","SC","TN","TX","UT","VA","VT","WA","WI","WV"
"10_2021",326688.896224514,190410.363866253,132331.2,387777.55500829,718616.321132998,566442.022981107,352428.75099267,521533.667693625,338052.672740049,302354.375407007,201516.07859617,811036.6,195903.860971649,345935.167253091,180327.175750672,204691.048267838,161180.889719018,178749.576703613,161179.857429344,418282.392219716,297151.223463451,290150.484579362,209603.539720213,265940.258369303,171918.3745044,253677.731499891,248114.314924819,312326.471939874,340571.349604889,511147.242721387,193239.498569765,167917.2,119209.970870064,431891.782004868,195469.656149496,413414.461294729,303861.124709374,211422.312595364,274899.34961566,507894.83522352,296541.097780067,296014.314563511,483477.620395205,249741.6,113579.397406656
"11_2021",327192.483667776,193617.893714768,134945.3,395256.997017794,724452.12549763,578921.239583662,354286.432265796,524437.80611136,345821.209074102,310267.168283738,205888.915083517,825572.9,197891.075562308,360206.59092555,182083.946964457,207749.184249606,163671.122922928,182369.884561664,163182.394780187,423321.180086117,300738.360407827,292956.861123188,212537.396616837,268489.349434243,174009.243718033,259433.230323304,250160.578893298,318076.207375913,346655.992788168,523307.479508521,195477.334827369,170075.8,121362.621931855,440019.555431621,198216.312733507,417091.773450541,310084.406541122,216375.83444399,279082.967903647,516295.701295331,300757.222255298,301943.337459284,490682.177619685,251492.9,114989.515235132
"12_2021",328190.976054812,196700.810361644,137559.4,402816.24379432,731798.022349551,592321.383177737,356149.827988206,527421.895333123,353866.598601193,318311.31930778,210191.949491115,840109.2,199824.030921858,370907.757976536,183964.789147005,210605.043947236,165827.272995693,185139.205500503,164813.021314897,428529.156369834,304303.67059278,297165.274181188,215586.711252774,271168.285846574,176041.601485154,265357.107801441,252314.471355294,323841.068387674,353288.071530839,535038.907985893,197764.930688664,172234.4,123082.254457431,448196.963451044,200800.066358292,421347.145339512,316416.671835664,221049.162443068,283477.460462408,525669.211380496,304958.615468393,306666.517672502,499171.870825946,253244.2,116345.016024631
"1_2022",329378.584443602,199811.655598627,140173.5,410215.635516503,739354.965578137,605522.982413223,358013.840348427,530412.220544332,362350.748296254,326508.879504782,214482.47365159,854645.5,201726.639063855,383204.98039503,186008.01363614,213412.382019207,168033.069746043,188351.243710004,166448.188890685,433627.578098192,307901.301206903,302204.58922087,218647.768534865,273961.827445694,178038.181825139,271474.493082392,254515.39396073,329618.731500441,359969.22295291,546574.090306272,200168.512092907,174393,124749.066462314,456577.73127938,203410.816612307,425215.375518354,322677.457418338,225896.597952294,287719.831743687,535424.971234784,309163.262400001,311872.121294277,506750.672529219,254995.5,117680.573679307
"2_2022",331323.274687392,202921.854711015,142787.6,417527.173427921,746728.877975102,618656.45693996,359873.598860621,533403.032149203,371211.258960952,334784.957850081,218793.757066906,869181.8,203603.736201111,393856.698803259,188048.243313221,216272.717932264,170301.531892266,191339.693475952,168083.661689306,438703.01041212,311441.047699252,307842.586516766,221637.705966962,276807.474503636,180018.191641013,277677.946307748,256543.536546461,335403.089901131,366650.374374981,557971.162356964,202579.099379809,176551.6,126280.127220874,465032.606256582,206057.299714743,429340.870702545,328940.212400824,230638.44979704,291763.433553172,543856.101645582,313283.576066874,316845.325687678,515572.644674531,256746.8,118946.774679232
"3_2022",333315.671723163,206055.745407057,145401.7,424761.818598996,753647.018087313,631389.029984537,361730.519205412,536393.881691726,379961.707077092,343138.124404371,223167.658764759,883718.1,205466.74657412,407185.931408619,190101.524544757,219068.659092137,172725.209675212,194525.496656684,169739.365995994,443623.955515007,314811.218362309,313521.789163803,224583.2557852,279630.611875607,181992.42409396,283976.30697617,258445.161438857,341170.119078157,373331.525797053,569465.772034038,204997.225321747,178710.2,127999.768819197,473539.226127318,208724.602403178,433342.771540123,335112.858989924,235444.034011262,295652.504417841,551243.711800253,317354.783606212,322520.795321819,523314.033200552,258498.1,120225.829348008
"4_2022",335119.012432984,209138.634055084,148015.8,432034.004855854,760170.48832744,644169.508106268,363588.037130773,539384.734193303,388718.812477883,351461.961277078,227628.934183541,898254.4,207317.758604549,418707.961273497,192026.222790501,221958.987058884,175126.954681346,197572.956502464,171418.259995646,448528.329391448,318176.624668224,318975.258334991,227520.719245447,282415.259064004,183965.537993593,290374.604011017,260369.123969771,346951.782370088,380012.677219124,580826.307411512,207373.409136542,180868.8,129757.925515678,482004.153362528,211355.973903394,437388.532826972,341240.931700915,240211.182719663,299348.33050261,557822.640587965,321382.382056463,327793.882473349,531956.632148381,260249.4,121521.858799103
"5_2022",336626.989825028,212212.691444224,150629.9,439053.805708646,765783.636565846,657096.848330338,365443.932468344,542375.58692568,397611.280281583,359723.155385662,232124.791282901,912790.699999999,209162.235078823,431759.520600613,193935.651069938,224791.813760943,177456.092563962,200793.922302471,173094.547879058,453098.030488821,321558.899817221,324049.989381583,230494.942096772,285171.415388582,185938.997085217,296879.989756642,262086.516120627,352782.739256779,386693.828641195,592139.249225478,209739.543993129,183027.4,131655.672543667,490454.589543358,213989.198836972,441251.973218473,347193.500021227,245001.506928764,302999.321825001,564284.758703802,325386.664059425,333240.117929522,539727.910967868,262000.7,122817.79186168
"6_2022",338356.589904596,215212.833749166,153244,445859.569297397,770745.059172057,670121.466127905,367296.050388867,545366.439676059,406910.75423208,367907.911750692,236710.631105642,927326.999999999,211001.066581211,442762.851109824,195748.829595053,227610.089857953,179735.242526612,203936.519705936,174757.618633612,457468.280750648,325103.075309359,328799.825275673,233487.718994856,287925.58632207,187912.984068937,303477.060409047,263810.067067662,358717.753453428,393374.980063267,603312.744500705,212091.418923146,185186,133527.413327537,498873.348007087,216628.885797464,445046.376152163,353004.619872347,249777.857455829,306453.999113841,570971.378289933,329380.064321257,338292.665180868,548233.448227007,263752,124113.168905379
"7_2022",340015.037776235,218193.629773282,155858.1,452306.633680762,775340.72474882,683211.913992288,369150.089006851,548357.292427843,416531.736209512,376046.945416994,241293.863477083,941863.299999999,212836.867577317,455504.627412812,197549.063241132,230427.663160314,182017.748222456,207165.989840495,176368.185226284,461793.998234308,328635.317726895,333352.402719317,236483.480966217,290689.559456583,189887.328841926,310135.658716249,265560.879490457,364686.239076577,400056.131485338,614347.76287271,214454.347856801,187344.6,135411.676376228,507298.544977587,219275.678965949,448809.695924603,358638.801051046,254562.633366987,309972.473430069,577802.809523619,333363.938851787,343648.389656003,555837.870837773,265503.3,125473.572521874
