"Date","jpy"
2000-01-03,101.690002
2000-01-04,103.139999
2000-01-05,104.089996
2000-01-06,105.230003
2000-01-07,105.330002
2000-01-10,105.160004
2000-01-11,106.019997
2000-01-12,105.709999
2000-01-13,106.019997
2000-01-14,105.879997
2000-01-17,104.889999
2000-01-18,105.660004
2000-01-19,105.260002
2000-01-20,105.309998
2000-01-21,104.720001
2000-01-24,105.650002
2000-01-25,105.870003
2000-01-26,105.580002
2000-01-27,104.989998
2000-01-28,107.059998
2000-01-31,107.199997
2000-02-01,107.739998
2000-02-02,108.099998
2000-02-03,107.449997
2000-02-04,107.18
2000-02-07,108.910004
2000-02-08,109.400002
2000-02-09,108.760002
2000-02-10,109.110001
2000-02-11,108.800003
2000-02-14,108.830002
2000-02-15,109.07
2000-02-16,109.349998
2000-02-17,110.410004
2000-02-18,110.849998
2000-02-21,111.25
2000-02-22,110.68
2000-02-23,111.25
2000-02-24,111.300003
2000-02-25,110.150002
2000-02-28,109.699997
2000-02-29,110.190002
2000-03-01,106.940002
2000-03-02,107.800003
2000-03-03,107.68
2000-03-06,107.419998
2000-03-07,106.18
2000-03-08,107.169998
2000-03-09,106.510002
2000-03-10,106.220001
2000-03-13,105.690002
2000-03-14,105.110001
2000-03-15,105.620003
2000-03-16,105.639999
2000-03-17,106.660004
2000-03-20,106.360001
2000-03-21,106.699997
2000-03-22,107.07
2000-03-23,107.279999
2000-03-24,106.989998
2000-03-27,106.699997
2000-03-28,105.82
2000-03-29,105.709999
2000-03-30,105.639999
2000-03-31,102.959999
2000-04-03,104.989998
2000-04-04,105.209999
2000-04-05,104.82
2000-04-06,104.690002
2000-04-07,105.449997
2000-04-10,106.459999
2000-04-11,106.800003
2000-04-12,105.75
2000-04-13,105.790001
2000-04-14,104.760002
2000-04-17,104.589996
2000-04-18,104.660004
2000-04-19,104.849998
2000-04-20,105.709999
2000-04-21,105.800003
2000-04-24,105.690002
2000-04-25,106.129997
2000-04-26,106.139999
2000-04-27,106.379997
2000-04-28,108.150002
2000-05-01,108.629997
2000-05-02,108.449997
2000-05-03,108.970001
2000-05-04,108
2000-05-05,108.580002
2000-05-08,109.150002
2000-05-09,109.110001
2000-05-10,109.349998
2000-05-11,108.379997
2000-05-12,108.32
2000-05-15,109.160004
2000-05-16,109.730003
2000-05-17,108.910004
2000-05-18,108.449997
2000-05-19,106.910004
2000-05-22,107.18
2000-05-23,106.459999
2000-05-24,107.660004
2000-05-25,107.379997
2000-05-26,107.110001
2000-05-29,106.910004
2000-05-30,106.480003
2000-05-31,107.629997
2000-06-01,108.5
2000-06-02,107.949997
2000-06-05,107.410004
2000-06-06,105.849998
2000-06-07,105.580002
2000-06-08,105.900002
2000-06-09,106.849998
2000-06-12,106.900002
2000-06-13,106.800003
2000-06-14,106.57
2000-06-15,106.410004
2000-06-16,106.349998
2000-06-19,105.849998
2000-06-20,105.400002
2000-06-21,105.57
2000-06-22,104.529999
2000-06-23,104.610001
2000-06-26,105.550003
2000-06-27,105.370003
2000-06-28,105.379997
2000-06-29,105.209999
2000-06-30,106.010002
2000-07-03,105.779999
2000-07-04,106.099998
2000-07-05,106.93
2000-07-06,107.330002
2000-07-07,107.879997
2000-07-10,106.919998
2000-07-11,107.07
2000-07-12,108.129997
2000-07-13,108.050003
2000-07-14,107.809998
2000-07-17,107.959999
2000-07-18,108.220001
2000-07-19,108.150002
2000-07-20,107.5
2000-07-21,108.970001
2000-07-24,108.57
2000-07-25,109.120003
2000-07-26,109.110001
2000-07-27,109.199997
2000-07-28,109.629997
