"Date","CNY","JPY"
"2010-01-04",6.8169,92.495003
"2010-01-05",6.817,91.584999
"2010-01-06",6.8183,92.356003
"2010-01-07",6.8178,93.389999
"2010-01-08",6.8175,92.660004
"2010-01-11",6.8165,92.092003
"2010-01-12",6.8166,91.080002
"2010-01-13",6.8168,91.432999
"2010-01-14",6.817,91.266998
"2010-01-15",6.817,90.75
"2010-01-18",6.8168,90.705002
"2010-01-19",6.8168,91.198997
"2010-01-20",6.8173,91.192001
"2010-01-21",6.8177,90.392998
"2010-01-22",6.817,89.809998
"2010-01-25",6.8169,90.415001
"2010-01-26",6.8166,89.629997
"2010-01-27",6.817,89.949997
"2010-01-28",6.8169,89.778
"2010-01-29",6.8169,90.269997
"2010-02-01",6.817,90.760002
"2010-02-02",6.815,90.428001
"2010-02-03",6.8169,90.839996
"2010-02-04",6.8169,89.410004
"2010-02-05",6.8185,89.220001
"2010-02-08",6.817,89.220001
"2010-02-09",6.8166,89.767998
"2010-02-10",6.819,89.93
"2010-02-11",6.8238,89.809998
"2010-02-12",6.8235,89.949997
"2010-02-15",6.8234,90.050003
"2010-02-16",6.8234,90.244003
"2010-02-17",6.8234,91.050003
"2010-02-18",6.8234,91.976997
"2010-02-19",6.8191,91.540001
"2010-02-22",6.8179,91.235001
"2010-02-23",6.8182,90.160004
"2010-02-24",6.817,90.278999
"2010-02-25",6.8169,89.269997
"2010-02-26",6.8167,88.920998
"2010-03-01",6.8164,89.150002
"2010-03-02",6.8175,88.739998
"2010-03-03",6.8159,88.57
"2010-03-04",6.8166,89.160004
"2010-03-05",6.8165,90.220001
"2010-03-08",6.817,90.286003
"2010-03-09",6.8174,89.988998
"2010-03-10",6.8161,90.470001
"2010-03-11",6.8162,90.648003
"2010-03-12",6.8154,90.540001
"2010-03-15",6.8161,90.32
"2010-03-16",6.816,90.290001
"2010-03-17",6.817,90.403
"2010-03-18",6.8175,90.480003
"2010-03-19",6.8165,90.519997
"2010-03-22",6.8168,90.339996
"2010-03-23",6.8166,90.365997
"2010-03-24",6.8171,92.014
"2010-03-25",6.8174,92.513
"2010-03-26",6.817,92.507004
"2010-03-29",6.8167,92.489998
"2010-03-30",6.8161,92.82
"2010-03-31",6.8159,93.519997
"2010-04-01",6.8164,93.849998
"2010-04-02",6.8164,94.529999
"2010-04-05",6.8164,94.330002
"2010-04-06",6.816,93.793999
"2010-04-07",6.8154,93.308998
"2010-04-08",6.8155,93.419998
"2010-04-09",6.8134,93.160004
"2010-04-12",6.8159,93.182999
"2010-04-13",6.8161,93.18
"2010-04-14",6.8159,93.318001
"2010-04-15",6.8158,93.040001
"2010-04-16",6.8161,92.150002
"2010-04-19",6.816,92.459999
"2010-04-20",6.8159,93.170998
"2010-04-21",6.8171,93.054001
"2010-04-22",6.8164,93.398003
"2010-04-23",6.818,93.949997
"2010-04-26",6.8176,93.900002
"2010-04-27",6.8166,93.143997
"2010-04-28",6.815,93.959999
"2010-04-29",6.8158,94.013
"2010-04-30",6.816,93.830002
"2010-05-03",6.815,94.692001
"2010-05-04",6.8163,94.709999
"2010-05-05",6.8171,93.780998
"2010-05-06",6.8168,90.830002
"2010-05-07",6.8157,91.580002
"2010-05-10",6.8166,93.18
"2010-05-11",6.8177,92.489998
"2010-05-12",6.8176,93.168999
"2010-05-13",6.8176,92.777
"2010-05-14",6.8166,92.459999
"2010-05-17",6.8177,92.550003
"2010-05-18",6.817,91.901001
"2010-05-19",6.8175,91.540001
"2010-05-20",6.8179,89.370003
"2010-05-21",6.8163,89.986
"2010-05-24",6.8163,90.190002
"2010-05-25",6.8213,90.332001
"2010-05-26",6.818,89.970001
"2010-05-27",6.8205,90.878998
"2010-05-28",6.8203,91.052002
"2010-05-31",6.8181,91.190002
"2010-06-01",6.8188,91.099998
"2010-06-02",6.8213,92.190002
"2010-06-03",6.82,92.623001
"2010-06-04",6.8187,91.879997
"2010-06-07",6.8206,91.515999
"2010-06-08",6.8195,91.410004
"2010-06-09",6.8192,91.364998
"2010-06-10",6.8191,91.308998
"2010-06-11",6.8223,91.620003
"2010-06-14",6.8233,91.620003
"2010-06-15",6.8233,91.473999
"2010-06-16",6.8233,91.396004
"2010-06-17",6.8193,90.839996
"2010-06-18",6.8186,90.699997
"2010-06-21",6.7871,90.995003
"2010-06-22",6.802,90.540001
"2010-06-23",6.8004,89.910004
"2010-06-24",6.791,89.629997
"2010-06-25",6.7822,89.150002
"2010-06-28",6.7841,89.313004
"2010-06-29",6.789,88.649002
"2010-06-30",6.772,88.43
"2010-07-01",6.771,87.599998
"2010-07-02",6.7616,87.790001
"2010-07-05",6.7664,87.625
"2010-07-06",6.7705,87.480003
"2010-07-07",6.768,87.68
"2010-07-08",6.7656,88.410004
"2010-07-09",6.7638,88.57
"2010-07-12",6.7617,88.639
"2010-07-13",6.7623,88.792999
"2010-07-14",6.7631,88.269997
"2010-07-15",6.7655,87.339996
"2010-07-16",6.7646,86.559998
"2010-07-19",6.769,86.760002
"2010-07-20",6.7685,87.241997
"2010-07-21",6.7685,86.861
"2010-07-22",6.7681,87.124001
"2010-07-23",6.7695,87.519997
"2010-07-26",6.7696,86.998001
"2010-07-27",6.7676,87.816002
"2010-07-28",6.7683,87.452003
"2010-07-29",6.767,86.682999
"2010-07-30",6.7652,86.440002
"2010-08-02",6.7643,86.598
"2010-08-03",6.7637,85.779999
"2010-08-04",6.7637,85.779999
"2010-08-05",6.763,86.300003
"2010-08-06",6.7615,85.833
"2010-08-09",6.7583,85.344002
"2010-08-10",6.7555,85.897003
"2010-08-11",6.763,85.360001
"2010-08-12",6.7637,85.171997
"2010-08-13",6.7748,86.073997
"2010-08-16",6.786,86.139999
"2010-08-17",6.7941,85.306999
"2010-08-18",6.7823,85.595001
"2010-08-19",6.78,85.440002
"2010-08-20",6.78,85.344002
"2010-08-23",6.7808,85.559998
"2010-08-24",6.79,85.140999
"2010-08-25",6.7869,84.178001
"2010-08-26",6.7895,84.683998
"2010-08-27",6.7902,84.346001
"2010-08-30",6.788,85.500999
"2010-08-31",6.7933,84.531998
"2010-09-01",6.7988,84.139999
"2010-09-02",6.8009,84.406998
"2010-09-03",6.796,84.25
"2010-09-06",6.7933,84.43
"2010-09-07",6.777,84.120003
"2010-09-08",6.7811,83.732002
"2010-09-09",6.7867,83.949997
"2010-09-10",6.7728,83.93
"2010-09-13",6.7606,84.306999
"2010-09-14",6.7497,83.681
"2010-09-15",6.736,83.047997
"2010-09-16",6.7295,85.699997
"2010-09-17",6.7145,85.848
"2010-09-20",6.7169,85.690002
"2010-09-21",6.7038,85.702003
"2010-09-22",6.6967,85.112999
"2010-09-23",6.694,84.480003
"2010-09-24",6.694,84.510002
"2010-09-27",6.694,84.316002
"2010-09-28",6.6823,84.275002
"2010-09-29",6.6809,83.891998
"2010-09-30",6.6784,83.765999
"2010-10-01",6.6831,83.57
"2010-10-04",6.68,83.333
"2010-10-05",6.68,83.502998
"2010-10-06",6.68,83.190002
"2010-10-07",6.6818,82.967003
"2010-10-08",6.68,82.379997
"2010-10-11",6.662,81.82
"2010-10-12",6.659,82.088997
"2010-10-13",6.6645,81.779999
"2010-10-14",6.656,81.797997
"2010-10-15",6.6434,81.470001
"2010-10-18",6.631,81.377998
