"Date","CNY","JPY"
"2010-01-01",6.8169,90.230003
"2010-02-01",6.8167,88.889999
"2010-03-01",6.8159,93.519997
"2010-04-01",6.816,93.830002
"2010-05-01",6.8181,91.190002
"2010-06-01",6.772,88.43
"2010-07-01",6.7652,86.449997
"2010-08-01",6.7933,84.531998
"2010-09-01",6.6784,83.765999
"2010-10-01",6.6765,81.679001
"2010-11-01",6.6505,84.253998
"2010-12-01",6.6124,81.480003
"2011-01-01",6.5725,82.088997
"2011-02-01",6.563,81.622002
"2011-03-01",6.5486,83.150002
"2011-04-01",6.501,81.529999
"2011-05-01",6.4738,80.879997
"2011-06-01",6.463,80.709999
"2011-07-01",6.443,77.730003
"2011-08-01",6.3803,76.700996
"2011-09-01",6.3875,76.764999
"2011-10-01",6.3488,75.739998
"2011-11-01",6.3651,77.959999
"2011-12-01",6.309,77.658997
"2012-01-01",6.3136,76.360001
"2012-02-01",6.2984,80.480003
"2012-03-01",6.296,82.860001
"2012-04-01",6.3042,80.349998
"2012-05-01",6.3507,78.982002
"2012-06-01",6.354,79.809998
"2012-07-01",6.3796,78.100998
"2012-08-01",6.3502,78.529999
"2012-09-01",6.2847,77.961998
"2012-10-01",6.2419,79.683998
"2012-11-01",6.2314,82.151001
"2012-12-01",6.2348,85.959999
"2013-01-01",6.2195,91.021004
"2013-02-01",6.2262,92.303001
"2013-03-01",6.2178,94.279999
"2013-04-01",6.1652,97.863998
"2013-05-01",6.1209,101.099998
"2013-06-01",6.1276,99.379997
"2013-07-01",6.1217,98.015999
"2013-08-01",6.1095,98.150002
"2013-09-01",6.1099,97.827003
"2013-10-01",6.0838,98.507004
"2013-11-01",6.0832,102.43
"2013-12-01",6.0518,104.933998
"2014-01-01",6.051,102.758003
"2014-02-01",6.1184,102.110001
"2014-03-01",6.2022,102.889
"2014-04-01",6.2481,102.564003
"2014-05-01",6.248438,101.832993
"2014-06-01",6.2085,101.443001
"2014-07-01",6.1615,102.839996
"2014-08-01",6.1334,104.117996
"2014-09-01",6.14,109.389999
"2014-10-01",6.1045,109.212997
"2014-11-01",6.153467,118.825996
"2014-12-01",6.192,119.458
"2015-01-01",6.241,117.449997
"2015-02-01",6.268021,119.617226
"2015-03-01",6.1965,120.013
"2015-04-01",6.1902,118.970001
"2015-05-01",6.1912,123.82
"2015-06-01",6.1988,122.669998
"2015-07-01",6.1997,124.070999
"2015-08-01",6.3785,121.289001
"2015-09-01",6.3536,119.860001
"2015-10-01",6.318716,120.627258
"2015-11-01",6.385,122.830002
"2015-12-01",6.4812,120.449997
"2016-01-01",6.607202,121.339996
"2016-02-01",6.5304,113.660004
"2016-03-01",6.4551,112.365997
"2016-04-01",6.4641,106.349998
"2016-05-01",6.5733,110.841003
"2016-06-01",6.6268,102.778
"2016-07-01",6.6423,102.332001
"2016-08-01",6.6804,102.867996
"2016-09-01",6.6687,101.198997
"2016-10-01",6.7834,104.565002
"2016-11-01",6.8973,112.470001
"2016-12-01",6.9438,116.889999
"2017-01-01",6.8807,113.650002
"2017-02-01",6.8701,112.745003
"2017-03-01",6.889,111.776001
"2017-04-01",6.9121,111.302002
"2017-05-01",6.8558,110.838997
"2017-06-01",6.7857,112.009003
"2017-07-01",6.7389,110.510002
"2017-08-01",6.5957,110.459999
"2017-09-01",6.665,112.994347
"2017-10-01",6.6424,112.996002
"2017-11-01",6.6083,112.001999
"2017-12-01",6.5057,112.68
"2018-01-01",6.3211,108.732002
"2018-02-01",6.3167,107.426003
"2018-03-01",6.2856,106.269997
"2018-04-01",6.337,109.098
"2018-05-01",6.418,108.711998
"2018-06-01",6.6274,110.486
"2018-07-01",6.8149,110.994003
"2018-08-01",6.8431,110.999001
"2018-09-01",6.868,113.682999
"2018-10-01",6.9663,113.052002
"2018-11-01",6.9415,113.411003
"2018-12-01",6.8772,110.330002
"2019-01-01",6.7155,108.981003
"2019-02-01",6.6862,110.862
"2019-03-01",6.7111,110.870003
"2019-04-01",6.7324,111.677002
"2019-05-01",6.9009,109.357002
"2019-06-01",6.8671,107.747002
"2019-07-01",6.8836,108.561996
"2019-08-01",7.1436,106.438004
"2019-09-01",7.1218,107.944
"2019-10-01",7.0544,108.789001
"2019-11-01",7.0316,109.445
"2019-12-01",6.9857,108.873001
"2020-01-01",6.9357,108.876999
"2020-02-01",6.9909,108.136002
"2020-03-01",7.0992,108.035004
"2020-04-01",7.0754,106.610001
"2020-05-01",7.1363,107.760002
"2020-06-01",7.0796,107.589996
"2020-07-01",7.0073,104.682999
"2020-08-01",6.8644,105.535004
"2020-09-01",6.8154,105.664001
"2020-10-01",6.714,104.554001
"2020-11-01",6.576,104.082001
"2020-12-01",6.5222,103.121002
"2021-01-01",6.4266,104.68
"2021-02-01",6.4779,106.529999
"2021-03-01",6.571,110.305
"2021-04-01",6.4712,108.903999
"2021-05-01",6.3674,109.906998
"2021-06-01",6.4631,110.535004
"2021-07-01",6.4605,109.669998
"2021-08-01",6.4651,109.944
"2021-09-01",6.4696,111.935997
"2021-10-01",6.4047,113.834999
"2021-11-01",6.387,113.804001
"2021-12-01",6.3721,115.063004
