DATE,UNRATE,PCE
1/1/1959,6,306.1
2/1/1959,5.9,309.6
3/1/1959,5.6,312.7
4/1/1959,5.2,312.2
5/1/1959,5.1,316.1
6/1/1959,5,318.2
7/1/1959,5.1,317.8
8/1/1959,5.2,320.2
9/1/1959,5.5,324.2
10/1/1959,5.7,322.8
11/1/1959,5.8,322.9
12/1/1959,5.3,322.9
1/1/1960,5.2,323.6
2/1/1960,4.8,325.3
3/1/1960,5.4,330.2
4/1/1960,5.2,336.5
5/1/1960,5.1,330
6/1/1960,5.4,330.1
7/1/1960,5.5,331.4
8/1/1960,5.6,331.6
9/1/1960,5.5,333.4
10/1/1960,6.1,335.4
11/1/1960,6.1,335.4
12/1/1960,6.6,331.3
1/1/1961,6.6,332.2
2/1/1961,6.9,333.7
3/1/1961,6.9,337.7
4/1/1961,7,337.6
5/1/1961,7.1,339.9
6/1/1961,6.9,340.9
7/1/1961,7,340.6
8/1/1961,6.6,342.1
9/1/1961,6.7,344.4
10/1/1961,6.5,346.5
11/1/1961,6.1,349.9
12/1/1961,6,352.4
1/1/1962,5.8,353.2
2/1/1962,5.5,354
3/1/1962,5.6,357.4
4/1/1962,5.6,359
5/1/1962,5.5,362
6/1/1962,5.5,360.4
7/1/1962,5.4,361.4
8/1/1962,5.7,362.9
9/1/1962,5.6,368.8
10/1/1962,5.4,366.5
11/1/1962,5.7,371.7
12/1/1962,5.5,373.6
1/1/1963,5.7,374.4
2/1/1963,5.9,373.4
3/1/1963,5.7,375
4/1/1963,5.7,376.4
5/1/1963,5.9,377.2
6/1/1963,5.6,381.7
7/1/1963,5.6,384.4
8/1/1963,5.4,386.3
9/1/1963,5.5,385.5
10/1/1963,5.5,386
11/1/1963,5.7,389.4
12/1/1963,5.5,394.7
1/1/1964,5.6,396.8
2/1/1964,5.4,400.2
3/1/1964,5.4,401.8
4/1/1964,5.3,402.8
5/1/1964,5.1,408.4
6/1/1964,5.2,411.4
7/1/1964,4.9,414.9
8/1/1964,5,417.7
9/1/1964,5.1,416.6
10/1/1964,5.1,419.6
11/1/1964,4.8,416.4
12/1/1964,5,421
1/1/1965,4.9,424.4
2/1/1965,5.1,431.4
3/1/1965,4.7,433.3
4/1/1965,4.8,437.1
5/1/1965,4.6,437.6
6/1/1965,4.6,435.2
7/1/1965,4.4,441
8/1/1965,4.4,444.4
9/1/1965,4.3,452
10/1/1965,4.2,458.5
11/1/1965,4.1,459.1
12/1/1965,4,461.7
1/1/1966,4,465.2
2/1/1966,3.8,470.2
3/1/1966,3.8,475
4/1/1966,3.8,476.9
5/1/1966,3.9,473.1
6/1/1966,3.8,475.5
7/1/1966,3.8,480.6
8/1/1966,3.8,483.2
9/1/1966,3.7,489.2
10/1/1966,3.7,488.3
11/1/1966,3.6,490.1
12/1/1966,3.8,491.8
1/1/1967,3.9,494.2
2/1/1967,3.8,493
3/1/1967,3.8,495.8
4/1/1967,3.8,501.3
5/1/1967,3.8,502.2
6/1/1967,3.9,506.8
7/1/1967,3.8,506.7
8/1/1967,3.8,509.8
9/1/1967,3.8,515.6
10/1/1967,4,512.2
11/1/1967,3.9,517.4
12/1/1967,3.8,525.1
1/1/1968,3.7,530.9
2/1/1968,3.8,533.6
3/1/1968,3.7,544.3
4/1/1968,3.5,544
5/1/1968,3.5,549.8
6/1/1968,3.7,556.3
7/1/1968,3.7,563.2
8/1/1968,3.5,567
9/1/1968,3.4,568.2
10/1/1968,3.4,571.6
11/1/1968,3.4,576.7
12/1/1968,3.4,576.5
1/1/1969,3.4,583.5
2/1/1969,3.4,588.7
3/1/1969,3.4,588.9
4/1/1969,3.4,593.9
5/1/1969,3.4,600.3
6/1/1969,3.5,600.9
7/1/1969,3.5,602.7
8/1/1969,3.5,609.9
9/1/1969,3.7,613.2
10/1/1969,3.7,618.5
11/1/1969,3.5,620.5
12/1/1969,3.5,622.8
1/1/1970,3.9,628.7
2/1/1970,4.2,634
3/1/1970,4.4,632.3
4/1/1970,4.6,636
5/1/1970,4.8,642.4
6/1/1970,4.9,646.3
7/1/1970,5,648.5
8/1/1970,5.1,652.9
9/1/1970,5.4,659.1
10/1/1970,5.5,658.3
11/1/1970,5.9,656.6
12/1/1970,6.1,665.6
1/1/1971,5.9,676.1
2/1/1971,5.9,679.4
3/1/1971,6,682
4/1/1971,5.9,688.8
5/1/1971,5.9,691.1
6/1/1971,5.9,699.8
7/1/1971,6,698.9
8/1/1971,6.1,704.9
9/1/1971,6,713
10/1/1971,5.8,715.8
11/1/1971,6,720.9
12/1/1971,6,728.4
1/1/1972,5.8,731.5
2/1/1972,5.7,736.2
3/1/1972,5.8,749.2
4/1/1972,5.7,752.5
5/1/1972,5.7,758
6/1/1972,5.7,761.6
7/1/1972,5.6,769.9
8/1/1972,5.6,776.3
9/1/1972,5.5,781.1
10/1/1972,5.6,794.9
11/1/1972,5.3,800.5
12/1/1972,5.2,806.1
1/1/1973,4.9,816.5
2/1/1973,5,825.8
3/1/1973,4.9,832.8
4/1/1973,5,835.7
5/1/1973,4.9,841.6
6/1/1973,4.9,844.3
7/1/1973,4.8,854.1
8/1/1973,4.8,853.3
9/1/1973,4.8,869.2
10/1/1973,4.6,868.2
11/1/1973,4.8,876.9
12/1/1973,4.9,876.6
1/1/1974,5.1,884.5
2/1/1974,5.2,889.7
3/1/1974,5.1,901.4
4/1/1974,5.1,910.8
5/1/1974,5.1,922.4
6/1/1974,5.4,928
7/1/1974,5.5,937.9
8/1/1974,5.5,954.8
9/1/1974,5.9,955.1
10/1/1974,6,959.2
11/1/1974,6.6,956.2
12/1/1974,7.2,961.8
1/1/1975,8.1,975.6
2/1/1975,8.1,989.4
3/1/1975,8.6,990.6
4/1/1975,8.8,995
5/1/1975,9,1018.9
6/1/1975,8.8,1026.8
7/1/1975,8.6,1039.8
8/1/1975,8.4,1047
9/1/1975,8.4,1054.8
10/1/1975,8.4,1060.9
11/1/1975,8.3,1075.8
12/1/1975,8.2,1092.1
1/1/1976,7.9,1107.1
2/1/1976,7.7,1107.7
3/1/1976,7.6,1114.9
4/1/1976,7.7,1125.4
5/1/1976,7.4,1122.7
6/1/1976,7.6,1140.5
7/1/1976,7.8,1149.6
8/1/1976,7.8,1158
9/1/1976,7.6,1168.8
10/1/1976,7.7,1176.8
11/1/1976,7.8,1189
12/1/1976,7.8,1211.5
1/1/1977,7.5,1215
2/1/1977,7.6,1231.3
3/1/1977,7.4,1238.3
4/1/1977,7.2,1247.3
5/1/1977,7,1257.1
6/1/1977,7.2,1263.6
7/1/1977,6.9,1280.5
8/1/1977,7,1285.7
9/1/1977,6.8,1294.5
10/1/1977,6.8,1311.4
11/1/1977,6.8,1327
12/1/1977,6.4,1336
1/1/1978,6.4,1329.5
2/1/1978,6.3,1355.1
3/1/1978,6.3,1377.5
4/1/1978,6.1,1396.4
5/1/1978,6,1412
6/1/1978,5.9,1425.8
7/1/1978,6.2,1426.8
8/1/1978,5.9,1447
9/1/1978,6,1452.9
10/1/1978,5.8,1466.9
11/1/1978,5.9,1480.6
12/1/1978,6,1496.5
1/1/1979,5.9,1502.4
2/1/1979,5.9,1517.8
3/1/1979,5.8,1531.2
4/1/1979,5.8,1538.4
5/1/1979,5.6,1558.8
6/1/1979,5.7,1575.7
7/1/1979,5.7,1586.1
8/1/1979,6,1615.6
9/1/1979,5.9,1633.9
10/1/1979,6,1641.6
11/1/1979,5.9,1657.3
12/1/1979,6,1666.3
1/1/1980,6.3,1697.3
2/1/1980,6.3,1701.4
3/1/1980,6.3,1708.2
4/1/1980,6.9,1695.2
5/1/1980,7.5,1700.1
6/1/1980,7.6,1718.8
7/1/1980,7.8,1747.1
8/1/1980,7.7,1763.8
9/1/1980,7.5,1780.5
10/1/1980,7.5,1817.1
11/1/1980,7.5,1826.8
12/1/1980,7.2,1851.7
1/1/1981,7.5,1870
2/1/1981,7.4,1884.2
3/1/1981,7.4,1902.9
4/1/1981,7.2,1904.4
5/1/1981,7.5,1913.8
6/1/1981,7.5,1934.5
7/1/1981,7.2,1942.1
8/1/1981,7.4,1966.6
9/1/1981,7.6,1965.5
10/1/1981,7.9,1963.9
11/1/1981,8.3,1970.6
12/1/1981,8.5,1988.8
1/1/1982,8.6,1997.1
2/1/1982,8.9,2021.2
3/1/1982,9,2024.1
4/1/1982,9.3,2026.3
5/1/1982,9.4,2044.5
6/1/1982,9.6,2048.1
7/1/1982,9.8,2072.2
8/1/1982,9.8,2080.1
9/1/1982,10.1,2104.6
10/1/1982,10.4,2125.8
11/1/1982,10.8,2149.3
12/1/1982,10.8,2161.6
1/1/1983,10.4,2174
2/1/1983,10.4,2177
3/1/1983,10.3,2202.8
4/1/1983,10.2,2226.4
5/1/1983,10.1,2245.9
6/1/1983,10.1,2276
7/1/1983,9.4,2304.4
8/1/1983,9.5,2320.4
9/1/1983,9.2,2334.9
10/1/1983,8.8,2357.6
11/1/1983,8.5,2366.3
12/1/1983,8.3,2393.6
1/1/1984,8,2419.4
2/1/1984,7.8,2403.5
3/1/1984,7.8,2431.6
4/1/1984,7.7,2457.5
5/1/1984,7.4,2474.5
6/1/1984,7.2,2495.6
7/1/1984,7.5,2494.6
8/1/1984,7.5,2512.2
9/1/1984,7.3,2533.8
10/1/1984,7.4,2531.3
11/1/1984,7.2,2571.4
12/1/1984,7.3,2582.6
1/1/1985,7.3,2618.8
2/1/1985,7.2,2640.8
3/1/1985,7.2,2648.5
4/1/1985,7.3,2659.5
5/1/1985,7.2,2696.4
6/1/1985,7.4,2689.4
7/1/1985,7.4,2715.7
8/1/1985,7.1,2752.1
9/1/1985,7.1,2794.7
10/1/1985,7.1,2755.8
11/1/1985,7,2771.1
12/1/1985,7,2811.3
1/1/1986,6.7,2827.1
2/1/1986,7.2,2820.2
3/1/1986,7.2,2823.6
4/1/1986,7.1,2835.2
5/1/1986,7.2,2857.5
6/1/1986,7.2,2861.7
7/1/1986,7,2881.2
8/1/1986,6.9,2898.6
9/1/1986,7,2971.8
10/1/1986,7,2932.9
11/1/1986,6.9,2928.4
12/1/1986,6.6,2997.1
1/1/1987,6.6,2935.5
2/1/1987,6.6,3001.7
3/1/1987,6.6,3013.3
4/1/1987,6.3,3038.8
5/1/1987,6.3,3048.4
6/1/1987,6.2,3072.8
7/1/1987,6.1,3094.7
8/1/1987,6,3130.8
9/1/1987,5.9,3126.5
10/1/1987,6,3134.5
11/1/1987,5.8,3144.2
12/1/1987,5.7,3174.1
1/1/1988,5.7,3213.7
2/1/1988,5.7,3221.4
3/1/1988,5.7,3260.5
4/1/1988,5.4,3263
5/1/1988,5.6,3293.6
6/1/1988,5.4,3318.5
7/1/1988,5.4,3342.7
8/1/1988,5.6,3368
9/1/1988,5.4,3375
10/1/1988,5.4,3413.7
11/1/1988,5.3,3430.2
12/1/1988,5.3,3459.7
1/1/1989,5.4,3483.7
2/1/1989,5.2,3488
3/1/1989,5,3498.8
4/1/1989,5.2,3543
5/1/1989,5.2,3551.8
6/1/1989,5.3,3566.6
7/1/1989,5.2,3585.7
8/1/1989,5.2,3620.6
9/1/1989,5.3,3621.9
10/1/1989,5.3,3633.6
11/1/1989,5.4,3643.3
12/1/1989,5.4,3684.2
1/1/1990,5.4,3730.7
2/1/1990,5.3,3728.2
3/1/1990,5.2,3754.9
4/1/1990,5.4,3770
5/1/1990,5.4,3775.8
6/1/1990,5.2,3804.5
7/1/1990,5.5,3821.7
8/1/1990,5.7,3848.3
9/1/1990,5.9,3870.1
10/1/1990,5.9,3870.6
11/1/1990,6.2,3871.9
12/1/1990,6.3,3861.3
1/1/1991,6.4,3841
2/1/1991,6.6,3866.7
3/1/1991,6.8,3913
4/1/1991,6.7,3907.1
5/1/1991,6.9,3933.2
6/1/1991,6.9,3940.5
7/1/1991,6.8,3966
8/1/1991,6.9,3969.1
9/1/1991,6.9,3984.7
10/1/1991,7,3976
11/1/1991,7,4003.6
12/1/1991,7.3,4020.5
1/1/1992,7.3,4084.7
2/1/1992,7.4,4099.5
3/1/1992,7.4,4117
4/1/1992,7.4,4131.5
5/1/1992,7.6,4158.4
6/1/1992,7.8,4177.1
7/1/1992,7.7,4204.8
8/1/1992,7.6,4220.9
9/1/1992,7.6,4255.3
10/1/1992,7.3,4284.7
11/1/1992,7.4,4300.5
12/1/1992,7.4,4336.4
1/1/1993,7.3,4340.7
2/1/1993,7.1,4355.3
3/1/1993,7,4352.5
4/1/1993,7.1,4393.4
5/1/1993,7.1,4422.4
6/1/1993,7,4440
7/1/1993,6.9,4468.9
8/1/1993,6.8,4481.1
9/1/1993,6.7,4511.5
10/1/1993,6.8,4532.8
11/1/1993,6.6,4554.1
12/1/1993,6.5,4571.1
1/1/1994,6.6,4585.1
2/1/1994,6.6,4632.6
3/1/1994,6.5,4646
4/1/1994,6.4,4671.1
5/1/1994,6.1,4669.5
6/1/1994,6.1,4708.9
7/1/1994,6.1,4720.6
8/1/1994,6,4762.6
9/1/1994,5.9,4775
10/1/1994,5.8,4812.9
11/1/1994,5.6,4825.6
12/1/1994,5.5,4841.6
1/1/1995,5.6,4851.2
2/1/1995,5.4,4850.8
3/1/1995,5.4,4885.4
4/1/1995,5.8,4890.2
5/1/1995,5.6,4933.1
6/1/1995,5.6,4977.5
7/1/1995,5.7,4970.2
8/1/1995,5.7,5005.3
9/1/1995,5.6,5020.5
10/1/1995,5.5,5013.9
11/1/1995,5.6,5055.6
12/1/1995,5.6,5097.5
1/1/1996,5.6,5085.7
2/1/1996,5.5,5132.8
3/1/1996,5.5,5173.3
4/1/1996,5.6,5208
5/1/1996,5.6,5223.8
6/1/1996,5.3,5229.8
7/1/1996,5.5,5251.9
8/1/1996,5.1,5275
9/1/1996,5.2,5296.6
10/1/1996,5.2,5328.5
11/1/1996,5.4,5351.2
12/1/1996,5.4,5378.6
1/1/1997,5.3,5411.1
2/1/1997,5.2,5434
3/1/1997,5.2,5454.2
4/1/1997,5.1,5459.3
5/1/1997,4.9,5460.2
6/1/1997,5,5494.2
7/1/1997,4.9,5548.8
8/1/1997,4.8,5587
9/1/1997,4.9,5601.7
10/1/1997,4.7,5637.7
11/1/1997,4.6,5661.1
12/1/1997,4.7,5692.1
1/1/1998,4.6,5689.9
2/1/1998,4.6,5723.8
3/1/1998,4.7,5750.3
4/1/1998,4.3,5788.1
5/1/1998,4.4,5837.9
6/1/1998,4.5,5871.7
7/1/1998,4.5,5890
8/1/1998,4.5,5925
9/1/1998,4.6,5965.6
10/1/1998,4.5,5998.8
11/1/1998,4.4,6015.4
12/1/1998,4.4,6070.5
1/1/1999,4.3,6073.9
2/1/1999,4.4,6099.2
3/1/1999,4.2,6133
4/1/1999,4.3,6199.5
5/1/1999,4.2,6232.1
6/1/1999,4.3,6260.3
7/1/1999,4.3,6287.6
8/1/1999,4.2,6331.9
9/1/1999,4.2,6386.5
10/1/1999,4.1,6411.4
11/1/1999,4.1,6448.7
12/1/1999,4,6541
1/1/2000,4,6542.9
2/1/2000,4.1,6625.3
3/1/2000,4,6686.5
4/1/2000,3.8,6679.1
5/1/2000,4,6709.7
6/1/2000,4,6746.9
7/1/2000,4,6768.5
8/1/2000,4.1,6802.8
9/1/2000,3.9,6888.6
10/1/2000,3.9,6893.8
11/1/2000,3.9,6909.8
12/1/2000,3.9,6952.2
1/1/2001,4.2,6987.4
2/1/2001,4.2,7001.8
3/1/2001,4.3,6996.7
4/1/2001,4.4,7004.2
5/1/2001,4.3,7052.8
6/1/2001,4.5,7069.7
7/1/2001,4.6,7082.3
8/1/2001,4.9,7121.7
9/1/2001,5,7007
10/1/2001,5.3,7212.9
11/1/2001,5.5,7182.3
12/1/2001,5.7,7166.7
1/1/2002,5.7,7184.6
2/1/2002,5.7,7225.2
3/1/2002,5.7,7243.4
4/1/2002,5.9,7312.5
5/1/2002,5.8,7288.9
6/1/2002,5.8,7322.5
7/1/2002,5.8,7387.3
8/1/2002,5.7,7412.6
9/1/2002,5.7,7391.5
10/1/2002,5.7,7435.2
11/1/2002,5.9,7463.8
12/1/2002,6,7519.9
1/1/2003,5.8,7541.3
2/1/2003,5.9,7548.6
3/1/2003,5.9,7611.5
4/1/2003,6,7634.5
5/1/2003,6.1,7650.3
6/1/2003,6.3,7699.6
7/1/2003,6.2,7757
8/1/2003,6.1,7852.1
9/1/2003,6.1,7853.7
10/1/2003,6,7867.4
11/1/2003,5.8,7922.6
12/1/2003,5.7,7950.4
1/1/2004,5.7,8007.1
2/1/2004,5.6,8040.4
3/1/2004,5.8,8098.8
4/1/2004,5.6,8107.2
5/1/2004,5.6,8176.5
6/1/2004,5.6,8157.6
7/1/2004,5.5,8236.9
8/1/2004,5.4,8271.6
9/1/2004,5.4,8341.5
10/1/2004,5.5,8397.1
11/1/2004,5.4,8444.5
12/1/2004,5.4,8504.4
1/1/2005,5.3,8497.7
2/1/2005,5.4,8559.1
3/1/2005,5.2,8598.4
4/1/2005,5.2,8678.4
5/1/2005,5.1,8671.6
6/1/2005,5,8753.4
7/1/2005,5,8853.8
8/1/2005,4.9,8850.1
9/1/2005,5,8900.4
10/1/2005,5,8938.5
11/1/2005,5,8946.2
12/1/2005,4.9,8981.1
1/1/2006,4.7,9071.6
2/1/2006,4.8,9096
3/1/2006,4.7,9132.9
4/1/2006,4.7,9191.6
5/1/2006,4.6,9231.8
6/1/2006,4.6,9259.6
7/1/2006,4.7,9343.8
8/1/2006,4.7,9342.2
9/1/2006,4.5,9375.4
10/1/2006,4.4,9393.6
11/1/2006,4.5,9400.2
12/1/2006,4.4,9488.3
1/1/2007,4.6,9538.7
2/1/2007,4.5,9566
3/1/2007,4.4,9611.7
4/1/2007,4.5,9643.6
5/1/2007,4.4,9685.8
6/1/2007,4.6,9706.8
7/1/2007,4.7,9751.1
8/1/2007,4.6,9798.9
9/1/2007,4.7,9845.1
10/1/2007,4.7,9882.7
11/1/2007,4.7,9955.9
12/1/2007,5,9972.8
1/1/2008,5,9996.4
2/1/2008,4.9,9981.7
3/1/2008,5.1,10035.3
4/1/2008,5,10070.3
5/1/2008,5.4,10132.3
6/1/2008,5.6,10187.1
7/1/2008,5.8,10185.1
8/1/2008,6.1,10175.7
9/1/2008,6.1,10116.4
10/1/2008,6.5,10034.1
11/1/2008,6.8,9885.2
12/1/2008,7.3,9801.5
1/1/2009,7.8,9847.2
2/1/2009,8.3,9824.5
3/1/2009,8.7,9773.2
4/1/2009,9,9772.5
5/1/2009,9.4,9791.6
6/1/2009,9.5,9852.4
7/1/2009,9.5,9886.3
8/1/2009,9.6,10004.1
9/1/2009,9.8,9927.8
10/1/2009,10,9976.7
11/1/2009,9.9,9985.7
12/1/2009,9.9,10052.6
1/1/2010,9.8,10056.1
2/1/2010,9.8,10093.4
3/1/2010,9.9,10156
4/1/2010,9.9,10182.3
5/1/2010,9.6,10210.8
6/1/2010,9.4,10231.3
7/1/2010,9.4,10268.1
8/1/2010,9.5,10307.1
9/1/2010,9.5,10327.1
10/1/2010,9.4,10386.4
11/1/2010,9.8,10433.6
12/1/2010,9.3,10471
1/1/2011,9.1,10514.3
2/1/2011,9,10540.6
3/1/2011,9,10619.7
4/1/2011,9.1,10652.1
5/1/2011,9,10672.2
6/1/2011,9.1,10694.8
7/1/2011,9,10731.6
8/1/2011,9,10750.3
9/1/2011,9,10783.2
10/1/2011,8.8,10802.9
11/1/2011,8.6,10806.8
12/1/2011,8.5,10817.8
1/1/2012,8.3,10896.8
2/1/2012,8.3,10987.2
3/1/2012,8.2,10993.9
4/1/2012,8.2,11018.5
5/1/2012,8.2,11006.8
6/1/2012,8.2,10989.8
7/1/2012,8.2,11016.8
8/1/2012,8.1,11056
9/1/2012,7.8,11105.3
10/1/2012,7.8,11137.4
11/1/2012,7.7,11178.4
12/1/2012,7.9,11181.2
1/1/2013,8,11245.8
2/1/2013,7.7,11282.1
3/1/2013,7.5,11268.9
4/1/2013,7.6,11259.3
5/1/2013,7.5,11295.1
6/1/2013,7.5,11318.5
7/1/2013,7.3,11346.8
8/1/2013,7.2,11376.9
9/1/2013,7.2,11413.9
10/1/2013,7.2,11465.2
11/1/2013,6.9,11531.3
12/1/2013,6.7,11558.6
1/1/2014,6.6,11543.7
2/1/2014,6.7,11615.4
3/1/2014,6.7,11695.2
4/1/2014,6.2,11737.4
5/1/2014,6.3,11778.6
6/1/2014,6.1,11838
7/1/2014,6.2,11879.2
8/1/2014,6.1,11958.8
9/1/2014,5.9,11964.9
10/1/2014,5.7,12035.5
11/1/2014,5.8,12058.4
12/1/2014,5.6,12067.6
1/1/2015,5.7,12036.5
2/1/2015,5.5,12083.1
3/1/2015,5.4,12132.2
4/1/2015,5.4,12170.3
5/1/2015,5.6,12233.6
6/1/2015,5.3,12270.3
7/1/2015,5.2,12327.5
8/1/2015,5.1,12359.3
9/1/2015,5,12356.4
10/1/2015,5,12362.3
11/1/2015,5.1,12397.5
12/1/2015,5,12432.8
1/1/2016,4.8,12452.1
2/1/2016,4.9,12526.3
3/1/2016,5,12506.8
4/1/2016,5.1,12586
5/1/2016,4.8,12624.4
6/1/2016,4.9,12701.7
7/1/2016,4.8,12720.6
8/1/2016,4.9,12749.8
9/1/2016,5,12806.8
10/1/2016,4.9,12828.1
11/1/2016,4.7,12853.6
12/1/2016,4.7,12962.9
1/1/2017,4.7,13015.1
2/1/2017,4.6,13034.7
3/1/2017,4.4,13089.6
4/1/2017,4.4,13127.7
5/1/2017,4.4,13128.7
6/1/2017,4.3,13176.8
7/1/2017,4.3,13198.3
8/1/2017,4.4,13241
9/1/2017,4.3,13365.1
10/1/2017,4.2,13394.8
11/1/2017,4.2,13495.7
12/1/2017,4.1,13601.8
1/1/2018,4,13620.1
2/1/2018,4.1,13657.2
3/1/2018,4,13725
4/1/2018,4,13809.3
5/1/2018,3.8,13872.1
6/1/2018,4,13912.9
7/1/2018,3.8,13962.6
8/1/2018,3.8,14014.5
9/1/2018,3.7,14030.7
10/1/2018,3.8,14119.6
11/1/2018,3.8,14187.8
12/1/2018,3.9,14050.6
1/1/2019,4,14104.4
2/1/2019,3.8,14117.9
3/1/2019,3.8,14244.4
4/1/2019,3.6,14329.3
5/1/2019,3.6,14372.2
6/1/2019,3.6,14425.7
7/1/2019,3.7,14487.4
8/1/2019,3.7,14536.4
9/1/2019,3.5,14564.7
10/1/2019,3.6,14607.9
11/1/2019,3.6,14667.6
12/1/2019,3.6,14686.3
1/1/2020,3.5,14769.9
2/1/2020,3.5,14785.1
3/1/2020,4.4,13762.2
4/1/2020,14.7,12021.8
5/1/2020,13.2,13058.1
6/1/2020,11,13889.3
