DATE,GDP,EXPGS,IMPGSC1
1/1/1959,510.33,21.915,129.446
4/1/1959,522.653,21.776,135.745
7/1/1959,525.034,24.079,137.041
10/1/1959,528.6,23.131,133.561
1/1/1960,542.648,26.145,138.606
4/1/1960,541.08,26.85,139.636
7/1/1960,545.604,27.561,135.521
10/1/1960,540.197,27.622,129.128
1/1/1961,545.018,27.56,128.503
4/1/1961,555.545,26.627,130.073
7/1/1961,567.664,27.779,138.688
10/1/1961,580.612,28.442,141.986
1/1/1962,594.013,28.325,146.308
4/1/1962,600.366,29.662,149.5
7/1/1962,609.027,29.593,151.395
10/1/1962,612.28,28.683,153.246
1/1/1963,621.672,29.161,149.699
4/1/1963,629.752,31.448,153.223
7/1/1963,644.444,31.215,157.114
10/1/1963,653.938,32.474,156.598
1/1/1964,669.822,34.192,156.451
4/1/1964,678.674,34.03,159.973
7/1/1964,692.031,35.375,164.266
10/1/1964,697.319,36.48,168.709
1/1/1965,717.79,32.969,162.635
4/1/1965,730.191,38.367,181.828
7/1/1965,749.323,37.551,182.574
10/1/1965,771.857,39.698,191.482
1/1/1966,795.734,39.356,196.417
4/1/1966,804.981,40.872,201.302
7/1/1966,819.638,40.857,212.593
10/1/1966,833.302,42.594,214.987
1/1/1967,844.17,43.886,218.343
4/1/1967,848.983,43.239,216.608
7/1/1967,865.233,42.845,219.452
10/1/1967,881.439,43.896,231.026
1/1/1968,909.387,45.452,244.637
4/1/1968,934.344,47.165,248.369
7/1/1968,950.825,49.891,263.296
10/1/1968,968.03,49.116,261.077
1/1/1969,993.337,44.042,236.452
4/1/1969,1009.02,53.775,283.101
7/1/1969,1029.956,53.596,279.433
10/1/1969,1038.147,56.275,276.363
1/1/1970,1051.2,57.031,275.458
4/1/1970,1067.375,60.411,280.902
7/1/1970,1086.059,60.519,280.258
10/1/1970,1088.608,60.873,284.604
1/1/1971,1135.156,63.221,281.249
4/1/1971,1156.271,62.894,302.466
7/1/1971,1177.675,65.717,309.152
10/1/1971,1190.297,60.019,288.197
1/1/1972,1230.609,68.639,330.317
4/1/1972,1266.369,67.152,318.581
7/1/1972,1290.566,71.453,325.212
10/1/1972,1328.904,76.129,339.862
1/1/1973,1377.49,83.959,355.566
4/1/1973,1413.887,91.923,345.318
7/1/1973,1433.838,97.576,335.778
10/1/1973,1476.289,107.62,338.284
1/1/1974,1491.209,116.709,326.81
4/1/1974,1530.056,126.668,344.123
7/1/1974,1560.026,126.638,338.109
10/1/1974,1599.679,136.585,334.754
1/1/1975,1616.116,141.369,301.164
4/1/1975,1651.853,136.827,277.065
7/1/1975,1709.82,134.098,300.098
10/1/1975,1761.831,142.531,316.117
1/1/1976,1820.487,143.588,335.921
4/1/1976,1852.332,146.621,350.47
7/1/1976,1886.558,151.775,364.768
10/1/1976,1934.273,156.076,376.841
1/1/1977,1988.648,155.354,394.68
4/1/1977,2055.909,161.906,398.319
7/1/1977,2118.473,162.325,392.768
10/1/1977,2164.27,157.809,398.342
1/1/1978,2202.76,164.601,425.07
4/1/1978,2331.633,186.215,426.419
7/1/1978,2395.053,191.302,431.993
10/1/1978,2476.949,205.415,437.924
1/1/1979,2526.61,211.669,436.734
4/1/1979,2591.247,220.908,439.092
7/1/1979,2667.565,234.277,432.386
10/1/1979,2723.883,253.664,441.816
1/1/1980,2789.842,268.508,442.117
4/1/1980,2797.352,277.389,410.012
7/1/1980,2856.483,284.673,380.507
10/1/1980,2985.557,292.517,400.911
1/1/1981,3124.206,305.467,418.022
4/1/1981,3162.532,308.455,418.639
7/1/1981,3260.609,302.339,413.847
10/1/1981,3280.818,304.695,425.696
1/1/1982,3274.302,293.202,413.539
4/1/1982,3331.972,294.729,406.768
7/1/1982,3366.322,279.634,425.635
10/1/1982,3402.561,265.274,408.929
1/1/1983,3473.413,270.703,418.301
4/1/1983,3578.848,272.514,450.465
7/1/1983,3689.179,278.181,485.556
10/1/1983,3794.706,286.587,509.375
1/1/1984,3908.054,292.975,550.324
4/1/1984,4009.601,302.2,573.377
7/1/1984,4084.25,305.744,588.22
10/1/1984,4148.551,308.603,605.461
1/1/1985,4230.168,306.01,592.108
4/1/1985,4294.887,304.126,621.201
7/1/1985,4386.773,297.273,615.192
10/1/1985,4444.094,305.433,639.267
1/1/1986,4507.894,313.404,638.629
4/1/1986,4545.34,315.119,665.801
7/1/1986,4607.669,320.471,684.256
10/1/1986,4657.627,334.999,689.567
1/1/1987,4722.156,336.451,685.524
4/1/1987,4806.16,355.36,702.675
7/1/1987,4884.555,371.854,716.372
10/1/1987,5007.994,392.107,732.845
1/1/1988,5073.372,418.727,729.393
4/1/1988,5190.036,439.471,720.992
7/1/1988,5282.835,453.586,738.003
10/1/1988,5399.509,466.619,760.484
1/1/1989,5511.253,485.189,764.021
4/1/1989,5612.463,507.229,767.643
7/1/1989,5695.365,509.352,766.599
10/1/1989,5747.237,515.387,780.469
1/1/1990,5872.701,538.232,805.219
4/1/1990,5960.028,545.925,803.868
7/1/1990,6015.116,555.149,800.622
10/1/1990,6004.733,568.186,779.151
1/1/1991,6035.178,573.177,770.272
4/1/1991,6126.862,590.733,783.963
7/1/1991,6205.937,600.595,806.025
10/1/1991,6264.54,615.217,823.831
1/1/1992,6363.102,625.287,829.815
4/1/1992,6470.763,626.163,843.457
7/1/1992,6566.641,639.365,856.753
10/1/1992,6680.803,641.396,877.263
1/1/1993,6729.459,643.606,896.257
4/1/1993,6808.939,653.094,914.774
7/1/1993,6882.098,650.897,926.821
10/1/1993,7013.738,671.6,964.055
1/1/1994,7115.652,681.232,986.514
4/1/1994,7246.931,706.988,1023.272
7/1/1994,7331.075,736.883,1052.047
10/1/1994,7455.288,758.646,1081.647
1/1/1995,7522.289,781.57,1105.38
4/1/1995,7580.997,798.851,1115.878
7/1/1995,7683.125,831.399,1119.712
10/1/1995,7772.586,839.421,1134.024
1/1/1996,7868.468,847.94,1170.888
4/1/1996,8032.84,859.042,1197.092
7/1/1996,8131.408,859.577,1235.904
10/1/1996,8259.771,903.798,1260.278
1/1/1997,8362.655,918.374,1314.106
4/1/1997,8518.825,954.45,1358.212
7/1/1997,8662.823,974.057,1408.264
10/1/1997,8765.907,968.33,1438.655
1/1/1998,8866.48,963.021,1492.613
4/1/1998,8969.699,947.295,1526.822
7/1/1998,9121.097,935.263,1547.423
10/1/1998,9293.991,966.337,1597.507
1/1/1999,9411.682,960.764,1642.647
4/1/1999,9526.21,974.597,1689.823
7/1/1999,9686.626,1005.309,1750.911
10/1/1999,9900.169,1030.971,1795.697
1/1/2000,10002.179,1052.904,1863.488
4/1/2000,10247.72,1093.36,1922.854
7/1/2000,10318.165,1125.002,1992.04
10/1/2000,10435.744,1113.177,1994.953
1/1/2001,10470.231,1096.812,1969.218
4/1/2001,10599,1058.013,1906.189
7/1/2001,10598.02,998.902,1862.95
10/1/2001,10660.465,953.52,1843.656
1/1/2002,10783.5,969.157,1896.04
4/1/2002,10887.46,1004.154,1959.578
7/1/2002,10984.04,1015.56,1984.492
10/1/2002,11061.433,1003.046,2020.124
1/1/2003,11174.129,1004.201,2011.331
4/1/2003,11312.766,1007.465,2040.651
7/1/2003,11566.669,1037.31,2072.609
10/1/2003,11772.234,1091.682,2138.44
1/1/2004,11923.447,1133.669,2198.333
4/1/2004,12112.815,1170.152,2284.933
7/1/2004,12305.307,1180.185,2316.604
10/1/2004,12527.214,1221.444,2370.563
1/1/2005,12767.286,1258.408,2390.985
4/1/2005,12922.656,1294.853,2422.995
7/1/2005,13142.642,1302.315,2436.601
10/1/2005,13324.204,1350.743,2515.132
1/1/2006,13599.16,1413.966,2566.893
4/1/2006,13753.424,1459.767,2592.455
7/1/2006,13870.188,1475.417,2618.357
10/1/2006,14039.56,1531.531,2614.992
1/1/2007,14215.651,1577.991,2653.058
4/1/2007,14402.082,1622.764,2667.163
7/1/2007,14564.117,1685.71,2682.099
10/1/2007,14715.058,1750.714,2656.767
1/1/2008,14706.538,1813.321,2666.73
4/1/2008,14865.701,1905.282,2641.498
7/1/2008,14898.999,1922.215,2608.161
10/1/2008,14608.208,1700.304,2513.844
1/1/2009,14430.901,1511.768,2274.895
4/1/2009,14381.236,1521.093,2182.501
7/1/2009,14448.882,1594.725,2272.535
10/1/2009,14651.248,1703.508,2385.074
1/1/2010,14764.611,1759.877,2448.044
4/1/2010,14980.193,1819.741,2559.69
7/1/2010,15141.605,1877.253,2649.148
10/1/2010,15309.471,1972.116,2658.885
1/1/2011,15351.444,2040.407,2671.872
4/1/2011,15557.535,2116.132,2681.865
7/1/2011,15647.681,2156.793,2711.619
10/1/2011,15842.267,2150.123,2747.221
1/1/2012,16068.824,2189.981,2760.748
4/1/2012,16207.13,2215.586,2771.011
7/1/2012,16319.54,2227.734,2785.883
10/1/2012,16420.386,2237.498,2759.627
1/1/2013,16629.05,2255.065,2757.265
4/1/2013,16699.551,2260.438,2797.3
7/1/2013,16911.068,2284.231,2817.399
10/1/2013,17133.114,2348.191,2839.671
1/1/2014,17144.281,2342.408,2876.337
4/1/2014,17462.703,2394.081,2941.839
7/1/2014,17743.227,2398.083,2947.352
10/1/2014,17852.54,2375.061,3024.682
1/1/2015,17991.348,2297.44,3068.49
4/1/2015,18193.707,2298.719,3091.083
7/1/2015,18306.96,2258.386,3117.762
10/1/2015,18332.079,2220.057,3124.356
1/1/2016,18425.306,2179.216,3119.978
4/1/2016,18611.617,2218.949,3123.245
7/1/2016,18775.459,2265.416,3145.977
10/1/2016,18968.041,2264.857,3192.525
1/1/2017,19153.912,2334.436,3238.754
4/1/2017,19322.92,2346.206,3273.385
