"date","trips"
"2019-01-01",143
"2019-01-02",14
"2019-01-03",144
"2019-01-04",254
"2019-01-05",314
"2019-01-06",207
"2019-01-07",242
"2019-01-08",287
"2019-01-09",239
"2019-01-10",211
"2019-01-11",179
"2019-01-12",359
"2019-01-13",228
"2019-01-14",226
"2019-01-15",194
"2019-01-16",135
"2019-01-17",321
"2019-01-18",287
"2019-01-19",326
"2019-01-20",363
"2019-01-21",383
"2019-01-22",437
"2019-01-23",432
"2019-01-24",520
"2019-01-25",468
"2019-01-26",420
"2019-01-27",461
"2019-01-28",465
"2019-01-29",335
"2019-01-30",404
"2019-01-31",342
"2019-02-01",418
"2019-02-02",380
"2019-02-03",420
"2019-02-04",428
"2019-02-05",410
"2019-02-06",379
"2019-02-07",313
"2019-02-08",161
"2019-02-09",138
"2019-02-10",110
"2019-02-11",225
"2019-02-12",439
"2019-02-13",359
"2019-02-14",498
"2019-02-15",664
"2019-02-16",454
"2019-02-17",617
"2019-02-18",535
"2019-02-19",194
"2019-02-20",414
"2019-02-21",368
"2019-02-22",389
"2019-02-23",617
"2019-02-24",531
"2019-02-25",403
"2019-02-26",352
"2019-02-27",400
"2019-02-28",191
"2019-03-01",421
"2019-03-02",297
"2019-03-03",194
"2019-03-04",193
"2019-03-05",307
"2019-03-06",331
"2019-03-07",489
"2019-03-08",628
"2019-03-09",805
"2019-03-10",717
"2019-03-11",722
"2019-03-12",702
"2019-03-13",745
"2019-03-14",938
"2019-03-15",775
"2019-03-16",696
"2019-03-17",541
"2019-03-18",360
"2019-03-19",333
"2019-03-20",296
"2019-03-21",519
"2019-03-22",411
"2019-03-23",377
"2019-03-24",484
"2019-03-25",518
"2019-03-26",555
"2019-03-27",556
"2019-03-28",573
"2019-03-29",593
"2019-03-30",490
"2019-03-31",373
"2019-04-01",436
"2019-04-02",514
"2019-04-03",396
"2019-04-04",441
"2019-04-05",569
"2019-04-06",211
"2019-04-07",276
"2019-04-08",447
"2019-04-09",463
"2019-04-10",489
"2019-04-11",589
"2019-04-12",574
"2019-04-13",302
"2019-04-14",504
"2019-04-15",601
"2019-04-16",494
"2019-04-17",377
"2019-04-18",465
"2019-04-19",576
"2019-04-20",671
"2019-04-21",409
"2019-04-22",445
"2019-04-23",357
"2019-04-24",125
"2019-04-25",359
"2019-04-26",526
"2019-04-27",598
"2019-04-28",439
"2019-04-29",446
"2019-04-30",331
"2019-05-01",323
"2019-05-02",339
"2019-05-03",281
"2019-05-04",629
"2019-05-05",452
