DATE,Value
1/1/85,72.5052
2/1/85,70.672
3/1/85,62.4502
4/1/85,57.4714
5/1/85,55.3151
6/1/85,58.0904
7/1/85,62.6202
8/1/85,63.2485
9/1/85,60.5846
10/1/85,56.3154
11/1/85,58.0005
12/1/85,68.7145
1/1/86,73.3057
2/1/86,67.9869
3/1/86,62.2221
4/1/86,57.0329
5/1/86,55.8137
6/1/86,59.9005
7/1/86,65.7655
8/1/86,64.4816
9/1/86,61.0005
10/1/86,57.5322
11/1/86,59.3417
12/1/86,68.1354
1/1/87,73.8152
2/1/87,70.062
3/1/87,65.61
4/1/87,60.1586
5/1/87,58.8734
6/1/87,63.8918
7/1/87,68.8694
8/1/87,70.0669
9/1/87,64.1151
10/1/87,60.3789
11/1/87,62.4643
12/1/87,70.5777
1/1/88,79.8703
2/1/88,76.1622
3/1/88,70.2928
4/1/88,63.2384
5/1/88,61.4065
6/1/88,67.1097
7/1/88,72.9816
8/1/88,75.7655
9/1/88,67.5152
10/1/88,63.2832
11/1/88,65.1078
12/1/88,73.8631
1/1/89,77.9188
2/1/89,76.6822
3/1/89,73.3523
4/1/89,65.1081
5/1/89,63.6892
6/1/89,68.4722
7/1/89,74.0301
8/1/89,75.0448
9/1/89,69.3053
10/1/89,65.8735
11/1/89,69.0706
12/1/89,84.1949
1/1/90,84.3598
2/1/90,77.1726
3/1/90,73.1964
4/1/90,67.2781
5/1/90,65.8218
6/1/90,71.4654
7/1/90,76.614
8/1/90,77.1052
9/1/90,73.061
10/1/90,67.4365
11/1/90,68.5665
12/1/90,77.6839
1/1/91,86.0214
2/1/91,77.5573
3/1/91,73.365
4/1/91,67.15
5/1/91,68.8162
6/1/91,74.8448
7/1/91,80.0928
8/1/91,79.1606
9/1/91,73.5743
10/1/91,68.7538
11/1/91,72.5166
12/1/91,79.4894
1/1/92,85.2855
2/1/92,80.1643
3/1/92,74.5275
4/1/92,69.6441
5/1/92,67.1784
6/1/92,71.2078
7/1/92,77.5081
8/1/92,76.5374
9/1/92,72.3541
10/1/92,69.0286
11/1/92,73.4992
12/1/92,84.5159
1/1/93,87.9464
2/1/93,84.5561
3/1/93,79.4747
4/1/93,71.0578
5/1/93,67.6762
6/1/93,74.3297
7/1/93,82.1048
8/1/93,82.0605
9/1/93,74.6031
