PersPerOccupHous,PctHousOwnOcc,MalePctDivorce,FamInc,PctRecImmig8,NormPopulation,Rent,PctPopUnderPov,PctLess9thGrade,PctUnemployed,NumStreet,ViolentCrimesPerPop
0.33,0.52,0.68,Medium,0.08,0.19,Low,0.19,0.1,0.27,0,21
0.17,0.24,1,Low,0.25,0,Medium,0.24,0.14,0.27,0,68
0.46,0.41,0.63,Low,0.04,0,Low,0.27,0.27,0.36,0,44
0.85,0.96,0.34,Medium,0.11,0.04,High,0.1,0.09,0.33,0,13
0.59,0.87,0.22,Medium,0.04,0.01,Medium,0.06,0.25,0.12,0,4
0.29,0.3,0.49,Medium,0.56,0.02,Medium,0.12,0.13,0.1,0,15
0.42,0.57,0.25,Medium,0.01,0.01,Medium,0.11,0.29,0.28,0,4
0.8,0.46,0.38,Low,0.71,0.01,Low,0.64,0.96,1,0,56
0.35,0.49,0.62,Low,0,0.03,Low,0.45,0.52,0.55,0,54
0.15,0.38,0.3,High,0.22,0.01,Medium,0.11,0.04,0.11,0,16
0.77,0.49,0.41,Medium,1,0.13,Medium,0.18,0.33,0.32,0.14,25
0.5,0.62,0.18,High,0.08,0.02,Medium,0.07,0.18,0.18,0,9
0.5,0.78,0.13,High,0.11,0.03,High,0.07,0.07,0.24,0,7
0.45,0.55,0.37,Medium,0.02,0.01,Low,0.07,0.2,0.13,0,10
0.39,0.5,0.6,High,0.53,0.04,High,0.18,0.11,0.19,0.11,22
0.32,0.58,0.5,Low,0,0.03,Low,0.33,0.3,0.32,0,31
0.21,0.22,0.5,Low,0.2,0.15,Low,0.48,0.3,0.37,0.02,50
0.57,0.86,0.25,High,0.15,0.01,High,0.04,0.1,0.11,0,8
0.33,0.46,0.38,Medium,0.06,0.02,Low,0.22,0.16,0.19,0,16
0.46,0.83,0.31,Low,0,0,Low,0.28,0.27,0.72,0,4
0.56,0.49,0.6,Low,0.41,0.25,Medium,0.34,0.34,0.59,0.09,35
0.42,0.54,0.69,Low,0.08,1,Low,0.33,0.25,0.3,0.36,70
0.32,0.38,0.72,Low,0.13,0.01,Low,0.58,0.31,0.63,0,22
0.43,0.61,0.48,Low,0.11,0.11,Low,0.36,0.29,0.33,0.01,64
1,0.42,0.28,Low,1,0.02,Low,0.63,1,1,0,32
0.24,0.47,0.6,Low,0.2,0,Low,0.3,0.11,0.3,0,13
0.51,0.33,0.55,Low,0.96,0.06,Medium,0.25,0.35,0.35,0,85
0.38,0.64,0.51,Low,0.01,0.01,Low,0.32,0.3,0.34,0,11
0.26,0.54,0.61,Low,0.01,0.01,Low,0.57,0.46,0.54,0,50
0.51,0.77,0.41,Medium,0.03,0,Medium,0.01,0.18,0.22,0,3
0.27,0.5,0.54,Low,0.02,0.01,Low,0.45,0.62,0.24,0,17
0.33,0.54,0.63,Low,0.08,0.29,Low,0.33,0.19,0.28,0.04,20
0.25,0.21,0.09,Low,0.2,0.04,Low,1,0.18,0.42,0,16
0.34,0.49,0.48,Low,0.06,0.09,Low,0.43,0.47,0.36,0,32
0.4,0.52,0.52,High,0.63,0.03,High,0.06,0.05,0.16,0,9
0.29,0.5,0.69,Low,0.03,0.19,Low,0.38,0.38,0.45,0.01,25
0.58,0.71,0.36,Medium,0.2,0.03,Medium,0.1,0.16,0.2,0,12
0.51,0.62,0.3,Low,0.75,0.01,Low,0.59,0.69,0.34,0,23
0.48,0.44,0.47,Low,0.08,0.02,Low,0.48,0.36,0.5,0,14
0.16,0.24,0.53,Medium,0.63,0.01,Medium,0.02,0.04,0.16,0,8
0.49,0.8,0.32,Medium,0.01,0.01,Medium,0.1,0.21,0.51,0,12
0.39,0.52,0.39,Medium,0.14,0.06,Low,0.17,0.49,0.33,0,7
0.45,0.55,0.58,Low,0.01,0,Low,0.54,0.39,0.56,0.01,81
0.38,0.54,0.57,Medium,0.38,0.09,High,0.17,0.14,0.27,1,23
0.72,0.93,0.09,High,0.45,0.02,High,0.07,0.21,0.18,0,18
0.37,0.42,0.36,Medium,0.2,0.12,Low,0.44,0.12,0.34,0.02,17
0.66,0.81,0.38,Medium,0.05,0.03,Medium,0.18,0.27,0.32,0,21
0.51,0.66,0.4,Low,0.08,0,Low,0.57,0.65,0.45,0,13
0.34,0.52,0.59,Medium,0.06,0.04,Low,0.18,0.08,0.26,0,12
0.37,0.49,0.58,Low,0.03,0.01,Low,0.34,0.41,0.47,0,13
0.33,0.55,0.73,Low,0.01,0.06,Low,0.43,0.32,0.54,0,21
0.64,0.46,0.51,Medium,0.46,0.35,Medium,0.31,0.3,0.44,0.03,69
0.55,0.79,0.38,Medium,0.05,0.04,Medium,0.13,0.27,0.23,0,24
0.66,0.8,0.2,High,0.03,0.02,High,0.05,0.11,0.24,0,6
0.5,0.52,0.55,Low,0.01,0,Low,0.43,0.63,0.53,0,11
0.45,0.59,0.77,Low,0.09,0.01,Low,0.61,0.53,0.65,0,29
0.47,0.53,0.57,Medium,0.49,0.16,Medium,0.16,0.12,0.25,0.01,23
