,Simulations,Alternative,Basic
0,1000,41.3,40
1,2000,42.95,42.94
2,3000,44.7,42.22
3,4000,42.58,41.41
4,5000,42.32,42.59
5,6000,42.93,41.5
6,7000,43.29,41.09
7,8000,42.21,42.22
8,9000,43.4,40.59
9,10000,43.21,41.36
10,11000,43.77,41.55
11,12000,43.41,42.19
12,13000,42.7,41.77
13,14000,42.97,41.86
14,15000,43.05,41.5
15,16000,42.35,42.45
16,17000,43.33,41.06
17,18000,43.2,41.94
18,19000,43.77,41.62
19,20000,43.44,42.14
20,21000,42.9,41.89
21,22000,43.01,41.72
22,23000,43.38,41.78
23,24000,42.55,41.39
24,25000,43.08,42.02
25,26000,43.1,41.84
26,27000,44.05,41.99
27,28000,42.9,41.59
28,29000,43.2,41.86
29,30000,43.39,41.58
30,31000,42.86,41.66
31,32000,43.12,42.44
32,33000,43.22,42.02
33,34000,43.75,41.78
34,35000,43.05,41.97
35,36000,43.16,41.86
36,37000,42.86,42.06
37,38000,43.17,41.6
38,39000,43.28,41.99
39,40000,43.26,41.85
40,41000,43.09,41.65
41,42000,43.42,41.57
42,43000,43.41,41.5
43,44000,43.5,41.54
44,45000,43.08,41.62
45,46000,42.89,41.39
46,47000,43.27,41.55
47,48000,42.94,41.86
48,49000,43.14,41.52
49,50000,43.37,41.93
50,51000,43.2,41.37
51,52000,42.97,42.08
52,53000,43.18,41.46
53,54000,43.19,41.74
54,55000,43.33,41.59
55,56000,43.14,41.72
56,57000,42.98,41.7
57,58000,43.37,41.66
58,59000,43.33,42.02
59,60000,43.53,41.93
60,61000,43.3,41.54
61,62000,43.26,41.88
62,63000,42.86,41.88
63,64000,43.29,41.83
64,65000,43.18,41.84
65,66000,43.3,41.64
66,67000,43.34,41.78
67,68000,43.4,41.84
68,69000,43.27,41.94
69,70000,43.33,41.78
70,71000,43.12,42.01
71,72000,43.09,41.81
72,73000,43.31,41.76
73,74000,43.35,42.09
74,75000,43.01,42.02
75,76000,43.02,41.58
76,77000,43.56,41.95
77,78000,42.99,41.65
78,79000,43.32,41.57
79,80000,43.32,41.85
80,81000,43.44,41.71
81,82000,43.26,42.07
82,83000,43.5,41.7
83,84000,43.23,42.11
84,85000,43.22,42.04
85,86000,42.93,41.73
86,87000,43.11,41.83
87,88000,43.02,41.95
88,89000,43.43,41.95
89,90000,43.37,41.56
90,91000,43.16,41.88
91,92000,43.37,41.71
92,93000,43.08,42.07
93,94000,43.14,41.64
94,95000,43.52,42.01
95,96000,43.4,41.7
96,97000,43.13,41.8
97,98000,43.45,41.88
98,99000,42.89,41.75
99,100000,43.11,42.1
