Date,Month,Year,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
11/19/2023,11,2023,CHEWY.COM,CHEWY.COM,96.91,debit,Pet Food & Supplies,Southwest Credit Card,,
11/19/2023,11,2023,CHILDREN'S MUSEUM OF PIT,CHILDREN'S MUSEUM OF PIT,5,debit,Kids,Southwest Credit Card,,
11/19/2023,11,2023,Amazon.com*3D14S41S3,Amazon.com*3D14S41S3,10.94,debit,Shopping,Southwest Credit Card,,
11/19/2023,11,2023,GOOGLE *SERVICES,GOOGLE *SERVICES,1,debit,Internet,Southwest Credit Card,,
11/19/2023,11,2023,GIANT-EAGLE #0093,GIANT-EAGLE #0093,21.71,debit,Groceries,Southwest Credit Card,,
11/19/2023,11,2023,GIANT-EAGLE #0093,GIANT-EAGLE #0093,40.66,debit,Groceries,Southwest Credit Card,,
11/19/2023,11,2023,GOOGLE *SERVICES,GOOGLE *SERVICES,1,credit,Income,Southwest Credit Card,,
11/19/2023,11,2023,Amazon.com*IJ2A13KX3,Amazon.com*IJ2A13KX3,9.89,debit,Shopping,Southwest Credit Card,,
11/19/2023,11,2023,Amazon.com*3D0DD1F63,Amazon.com*3D0DD1F63,12.69,debit,Shopping,Southwest Credit Card,,
11/19/2023,11,2023,Amazon.com*X75XM1C53,Amazon.com*X75XM1C53,19.39,debit,Shopping,Southwest Credit Card,,
11/19/2023,11,2023,GOOGLE *YouTubePremium,GOOGLE *YouTubePremium,13.99,debit,Television,Southwest Credit Card,,
11/19/2023,11,2023,GIANT-EAGLE #0093,GIANT-EAGLE #0093,53.02,debit,Groceries,Southwest Credit Card,,
11/19/2023,11,2023,SHEETZ 0582 XXXX5827,SHEETZ 0582 XXXX5827,45.22,debit,Gas & Fuel,Southwest Credit Card,,
11/19/2023,11,2023,Amazon.com*7L27G2523,Amazon.com*7L27G2523,49.45,debit,Shopping,Southwest Credit Card,,
11/17/2023,11,2023,SQ *MURRYSVILLE,SQ *MURRYSVILLE,12.36,debit,Coffee Shops,Southwest Credit Card,,
11/17/2023,11,2023,BEAN SPROUTS PITTSBURGH,BEAN SPROUTS PITTSBURGH,24.94,debit,Restaurants,Southwest Credit Card,,
11/17/2023,11,2023,GIANT-EAGLE #0031,GIANT-EAGLE #0031,68.49,debit,Groceries,Southwest Credit Card,,
11/17/2023,11,2023,Prime Video *LJ3SE6E73,Prime Video *LJ3SE6E73,5.99,debit,Movies & DVDs,Southwest Credit Card,,
11/16/2023,11,2023,GIANT EAGLE #0015,GIANT EAGLE #0015,29.16,debit,Groceries,Southwest Credit Card,,
