Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/30/2022,12/30/2022,CHIPOTLE ONLINE,Food & Drink,Sale,-14.85,
12/29/2022,12/30/2022,FRED MEYER,Groceries,Sale,-175.33,
12/28/2022,12/29/2022,FRED MEYER 0482,Groceries,Sale,-30.26,
12/27/2022,12/29/2022,ACT CITYOFHILLSBORO,Entertainment,Sale,-6.00,
12/27/2022,12/29/2022,SHELL OIL 57443145602,Gas,Sale,-60.59,
12/26/2022,12/28/2022,2LEVY AT OMZ,Food & Drink,Sale,-17.00,
12/27/2022,12/28/2022,TARGET        00003442,Shopping,Sale,-5.99,
12/27/2022,12/28/2022,TARGET        00003442,Shopping,Sale,-16.70,
12/26/2022,12/28/2022,A DOGS HIDE A WAY LLC,Personal,Sale,-40.00,
12/27/2022,12/28/2022,TARGET        00003442,Shopping,Sale,-1.79,
12/26/2022,12/27/2022,ZIPLY FIBER * INTERNET,Bills & Utilities,Sale,-80.00,
12/26/2022,12/27/2022,Payment Thank You-Mobile,,Payment,1419.67,
12/27/2022,12/27/2022,AMZN Mktp US*1E6KE7FQ3,Shopping,Sale,-28.72,
12/23/2022,12/25/2022,APPLE.COM/BILL,Entertainment,Sale,-6.99,
12/22/2022,12/25/2022,1 800 PETMEDS,Personal,Sale,-67.99,
12/23/2022,12/25/2022,GOOGLE *YouTube TV,Entertainment,Sale,-84.98,
12/24/2022,12/25/2022,FRED MEYER 0482,Groceries,Sale,-200.04,
12/23/2022,12/23/2022,WWW COSTCO COM,Shopping,Sale,-44.99,
12/23/2022,12/23/2022,WWW COSTCO COM,Shopping,Sale,-29.99,
12/22/2022,12/23/2022,WWW COSTCO COM,Shopping,Sale,-31.99,
12/22/2022,12/23/2022,WHOLEFDS TAN 10327,Groceries,Sale,-73.68,
12/22/2022,12/23/2022,SP KATE QUINN,Shopping,Sale,-65.99,
12/21/2022,12/22/2022,WASTE MGMT WM EZPAY,Bills & Utilities,Sale,-81.74,
12/21/2022,12/22/2022,THE UPS STORE 1261,Personal,Sale,-25.20,
12/21/2022,12/22/2022,Amazon.com*OS1ZU33I3,Shopping,Sale,-10.98,
12/21/2022,12/22/2022,CRUMBL* TANASBOURNE,Groceries,Sale,-18.25,
12/21/2022,12/22/2022,Amazon.com*DB6RA5R23,Shopping,Sale,-18.49,
12/21/2022,12/22/2022,UNIVERSAL CYCLES,Shopping,Sale,-93.80,
12/21/2022,12/22/2022,HEALTHY PAWS PET INSURAN,Bills & Utilities,Sale,-72.40,
12/20/2022,12/21/2022,SUNSET PEDIATRICS,Health & Wellness,Sale,-1.91,
12/20/2022,12/21/2022,PAYPAL *FARBERSWIM,Home,Sale,-85.00,
12/20/2022,12/21/2022,VCA ROCK CREEK AH# 924,Personal,Sale,-297.61,
12/20/2022,12/20/2022,Payment Thank You-Mobile,,Payment,1238.75,
12/19/2022,12/20/2022,Amazon.com*7978Y4E23,Shopping,Sale,-5.99,
12/19/2022,12/20/2022,Amazon.com*P484774X3,Shopping,Sale,-9.99,
12/19/2022,12/20/2022,AMZN Mktp US*1S4OR2453,Shopping,Sale,-14.99,
12/19/2022,12/20/2022,Amazon.com*ML1NB5713,Shopping,Sale,-11.00,
12/20/2022,12/20/2022,SHUTTERFLY  INC.,Shopping,Sale,-32.84,
12/20/2022,12/20/2022,SHUTTERFLY  INC.,Shopping,Sale,-32.84,
12/17/2022,12/19/2022,THE UPS STORE 1261,Personal,Sale,-27.89,
12/19/2022,12/19/2022,Amazon.com*IB31U6OB3,Shopping,Sale,-80.00,
12/18/2022,12/19/2022,FRED MEYER 0482,Groceries,Sale,-22.47,
12/17/2022,12/19/2022,FRED MEYER 0482,Groceries,Sale,-81.24,
12/17/2022,12/19/2022,CHICK-FIL-A #03984,Food & Drink,Sale,-20.93,
12/18/2022,12/19/2022,FRED MEYER 0482,Groceries,Sale,-173.76,
12/18/2022,12/18/2022,Columbia 425,Shopping,Sale,-448.00,
12/17/2022,12/18/2022,SP JACOBSEN SALT CO.,Groceries,Sale,-61.83,
12/16/2022,12/18/2022,GOOGLE *YouTubePremium,Entertainment,Sale,-11.99,
12/16/2022,12/18/2022,Amazon.com*7I6BC5TN3,Shopping,Sale,-17.59,
12/17/2022,12/18/2022,DTV*NFLSUNDAYTICKET.TV,Bills & Utilities,Sale,-28.24,
12/16/2022,12/18/2022,SAFEWAY #1230,Groceries,Sale,-44.55,
12/17/2022,12/18/2022,Amazon.com*HA8WL1TQ1,Shopping,Sale,-7.99,
12/16/2022,12/18/2022,Amazon.com*TC0RE8T93,Shopping,Sale,-9.97,
12/15/2022,12/18/2022,SAFEWAY #1230,Groceries,Sale,-46.24,
12/16/2022,12/16/2022,CHIPOTLE ONLINE,Food & Drink,Sale,-38.20,
12/15/2022,12/15/2022,Payment Thank You-Mobile,,Payment,843.25,
12/14/2022,12/15/2022,TRG LLC PORTLAND 2,Health & Wellness,Sale,-10.02,
12/14/2022,12/15/2022,WEST HILLSALLERGY&amp;ASTHMA2,Health & Wellness,Sale,-26.77,
12/14/2022,12/15/2022,AMZN Mktp US*F228G1ZO3,Shopping,Sale,-12.99,
12/13/2022,12/15/2022,A DOGS HIDE A WAY LLC,Personal,Sale,-40.00,
12/13/2022,12/15/2022,CHICK-FIL-A #03984,Food & Drink,Sale,-12.09,
12/14/2022,12/15/2022,AMZN Mktp US*FX8ZD0PD3,Shopping,Sale,-15.99,
12/14/2022,12/14/2022,KiwiCo  Inc.,Education,Sale,-69.80,
12/13/2022,12/14/2022,KUDOBOARD,Shopping,Sale,-11.11,
